Node0 Layer,Node0 X location,Node0 Y location,Node1 Layer,Node1 X location,Node1 Y location,Current
Metal1,21.4700,47.0400,Metal1,21.5250,46.8100,2.000e-11
Metal1,21.4700,431.2000,Metal1,21.5250,430.9700,2.000e-11
Metal1,21.4700,462.5600,Metal1,21.5300,462.7900,2.000e-11
Metal1,21.4700,478.2400,Metal1,21.8100,478.2400,9.984e-12
Metal1,21.4700,721.2800,Metal1,21.5250,721.5100,2.000e-11
Metal1,21.4700,940.8000,Metal1,21.8100,940.8000,9.905e-12
Metal1,21.5250,39.2000,Metal1,21.7550,39.2000,7.462e-13
Metal1,21.5250,46.8100,Metal1,21.7550,46.8100,2.514e-14
Metal1,21.5250,54.8800,Metal1,21.7550,54.8800,2.440e-14
Metal1,21.5250,70.5600,Metal1,21.7550,70.5600,2.969e-12
Metal1,21.5250,78.4000,Metal1,21.7550,78.4000,2.870e-12
Metal1,21.5250,94.0800,Metal1,21.7550,94.0800,2.969e-12
Metal1,21.5250,101.9200,Metal1,21.7550,101.9200,2.969e-12
Metal1,21.5250,109.7600,Metal1,21.7550,109.7600,2.969e-12
Metal1,21.5250,117.6000,Metal1,21.7550,117.6000,1.991e-11
Metal1,21.5250,125.4400,Metal1,21.5300,125.0675,2.000e-11
Metal1,21.5250,133.2800,Metal1,21.7550,133.2800,3.524e-12
Metal1,21.5250,141.1200,Metal1,21.7550,141.1200,2.969e-12
Metal1,21.5250,148.9600,Metal1,21.7550,148.9600,2.870e-12
Metal1,21.5250,164.6400,Metal1,21.7550,164.6400,2.969e-12
Metal1,21.5250,172.4800,Metal1,21.7550,172.4800,8.289e-13
Metal1,21.5250,180.3200,Metal1,21.7550,180.3200,2.969e-12
Metal1,21.5250,188.1600,Metal1,21.7550,188.1600,2.969e-12
Metal1,21.5250,196.0000,Metal1,21.7550,196.0000,3.200e-15
Metal1,21.5250,211.6800,Metal1,21.7550,211.6800,1.678e-12
Metal1,21.5250,219.5200,Metal1,21.7550,219.5200,8.487e-13
Metal1,21.5250,227.3600,Metal1,21.7550,227.3600,2.870e-12
Metal1,21.5250,250.8800,Metal1,21.7550,250.8800,2.870e-12
Metal1,21.5250,258.7200,Metal1,21.7550,258.7200,4.157e-12
Metal1,21.5250,266.5600,Metal1,21.7350,266.1625,3.423e-13
Metal1,21.5250,274.4000,Metal1,21.7550,274.4000,2.870e-12
Metal1,21.5250,282.2400,Metal1,21.7550,282.2400,2.870e-12
Metal1,21.5250,290.0800,Metal1,21.7550,290.0800,2.440e-14
Metal1,21.5250,297.9200,Metal1,21.5300,297.5275,2.000e-11
Metal1,21.5250,305.7600,Metal1,21.7550,305.7600,2.969e-12
Metal1,21.5250,313.6000,Metal1,21.7550,313.6000,3.002e-12
Metal1,21.5250,337.1200,Metal1,21.7550,337.1200,2.870e-12
Metal1,21.5250,344.9600,Metal1,21.7550,344.9600,2.969e-12
Metal1,21.5250,352.8000,Metal1,21.7550,352.8000,2.870e-12
Metal1,21.5250,360.6400,Metal1,21.7550,360.6400,2.969e-12
Metal1,21.5250,368.4800,Metal1,21.6600,368.0825,3.971e-14
Metal1,21.5250,399.8400,Metal1,21.7550,399.8400,2.870e-12
Metal1,21.5250,407.6800,Metal1,21.7550,407.6800,2.969e-12
Metal1,21.5250,430.9700,Metal1,21.7550,430.9700,2.521e-14
Metal1,21.5250,470.4000,Metal1,21.7550,470.4000,7.462e-13
Metal1,21.5250,517.4400,Metal1,21.7550,517.4400,2.366e-10
Metal1,21.5250,525.2800,Metal1,21.7550,525.2800,8.460e-13
Metal1,21.5250,540.9600,Metal1,21.7550,540.9600,3.100e-12
Metal1,21.5250,548.8000,Metal1,21.7550,548.8000,2.969e-12
Metal1,21.5250,564.4800,Metal1,21.7550,564.4800,2.870e-12
Metal1,21.5250,572.3200,Metal1,21.7550,572.3200,2.969e-12
Metal1,21.5250,580.1600,Metal1,21.7550,580.1600,2.969e-12
Metal1,21.5250,595.8400,Metal1,21.7550,595.8400,7.161e-13
Metal1,21.5250,611.5200,Metal1,21.7550,611.5200,2.969e-12
Metal1,21.5250,627.2000,Metal1,21.7550,627.2000,3.606e-12
Metal1,21.5250,635.0400,Metal1,21.7550,635.0400,2.969e-12
Metal1,21.5250,642.8800,Metal1,21.7550,642.8800,3.625e-12
Metal1,21.5250,658.5600,Metal1,21.7550,658.5600,2.969e-12
Metal1,21.5250,666.4000,Metal1,21.7550,666.4000,2.969e-12
Metal1,21.5250,674.2400,Metal1,21.7550,674.2400,9.001e-12
Metal1,21.5250,682.0800,Metal1,21.7550,682.0800,2.969e-12
Metal1,21.5250,689.9200,Metal1,21.7550,689.9200,3.045e-12
Metal1,21.5250,705.6000,Metal1,21.7550,705.6000,8.187e-13
Metal1,21.5250,713.4400,Metal1,21.7550,713.4400,2.969e-12
Metal1,21.5250,721.5100,Metal1,21.7550,721.5100,2.513e-14
Metal1,21.5250,729.1200,Metal1,21.7550,729.1200,2.870e-12
Metal1,21.5250,736.9600,Metal1,21.7550,736.9600,2.969e-12
Metal1,21.5250,752.6400,Metal1,21.7550,752.6400,2.969e-12
Metal1,21.5250,760.4800,Metal1,21.7550,760.4800,9.521e-13
Metal1,21.5250,768.3200,Metal1,21.7550,768.3200,2.969e-12
Metal1,21.5250,776.1600,Metal1,21.7550,776.1600,2.332e-14
Metal1,21.5250,784.0000,Metal1,21.7550,784.0000,3.522e-12
Metal1,21.5250,791.8400,Metal1,21.7550,791.8400,3.631e-12
Metal1,21.5250,799.6800,Metal1,21.7550,799.6800,9.607e-13
Metal1,21.5250,815.3600,Metal1,21.7550,815.3600,3.097e-12
Metal1,21.5250,823.2000,Metal1,21.7550,823.2000,2.969e-12
Metal1,21.5250,831.0400,Metal1,21.7550,831.0400,2.969e-12
Metal1,21.5250,846.7200,Metal1,21.7550,846.7200,2.969e-12
Metal1,21.5250,854.5600,Metal1,21.7550,854.5600,2.969e-12
Metal1,21.5250,862.4000,Metal1,21.7550,862.4000,2.969e-12
Metal1,21.5250,878.0800,Metal1,21.7550,878.0800,2.969e-12
Metal1,21.5250,885.9200,Metal1,21.7550,885.9200,1.634e-11
Metal1,21.5250,893.7600,Metal1,21.5300,893.3900,2.000e-11
Metal1,21.5250,909.4400,Metal1,21.7550,909.4400,2.969e-12
Metal1,21.5250,964.3200,Metal1,21.7550,964.3200,2.969e-12
Metal1,21.5250,980.0000,Metal1,21.7550,980.0000,1.782e-12
Metal1,21.5300,125.0675,Metal1,21.7550,125.6925,3.078e-15
Metal1,21.5300,297.5275,Metal1,21.7550,298.1725,2.104e-15
Metal1,21.5300,321.4400,Metal1,21.7600,321.4400,8.651e-13
Metal1,21.5300,423.3600,Metal1,21.7600,423.3600,2.655e-12
Metal1,21.5300,454.7200,Metal1,21.7600,454.7200,3.620e-12
Metal1,21.5300,462.7900,Metal1,21.7600,462.7900,3.439e-14
Metal1,21.5300,893.3900,Metal1,21.7550,894.0125,7.335e-15
Metal1,21.5300,917.2800,Metal1,21.7600,917.2800,2.655e-12
Metal1,21.5300,948.6400,Metal1,21.7600,948.6400,2.655e-12
Metal1,21.5300,956.4800,Metal1,21.7600,956.4800,2.655e-12
Metal1,21.5800,384.1600,Metal1,21.8100,384.1600,8.180e-14
Metal1,21.6600,368.0825,Metal1,21.7550,368.7325,3.971e-14
Metal1,21.6800,925.1200,Metal1,22.0200,925.1200,9.831e-12
Metal1,21.7350,266.1625,Metal1,21.7550,266.7275,3.423e-13
Metal1,21.7350,533.1200,Metal1,22.0750,533.1200,1.690e-11
Metal1,21.7550,39.2000,Metal1,22.0900,39.2000,7.462e-13
Metal1,21.7550,46.8100,Metal1,21.8100,47.0400,2.514e-14
Metal1,21.7550,54.8800,Metal1,22.0900,54.8800,2.440e-14
Metal1,21.7550,70.5600,Metal1,25.2500,70.5600,6.000e-11
Metal1,21.7550,78.4000,Metal1,23.7100,78.4000,4.000e-11
Metal1,21.7550,94.0800,Metal1,22.5900,94.0800,3.000e-11
Metal1,21.7550,101.9200,Metal1,23.2900,101.9200,3.000e-11
Metal1,21.7550,109.7600,Metal1,23.0250,109.7600,3.000e-11
Metal1,21.7550,117.6000,Metal1,23.3400,117.6000,9.004e-14
Metal1,21.7550,125.6925,Metal1,21.7600,125.4400,3.078e-15
Metal1,21.7550,133.2800,Metal1,23.1500,133.2800,3.524e-12
