Metric,Value
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,83.304436
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,483
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,0
design__max_cap_violation__count__corner:max_tt_025C_5v00,0
clock__skew__worst_hold__corner:max_tt_025C_5v00,0.4191831445047456
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.4191831445047456
timing__hold__ws__corner:max_tt_025C_5v00,0.7453322614499802
timing__setup__ws__corner:max_tt_025C_5v00,71.73452079830811
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.745332
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,71.734520
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,483
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,0
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,0.7391691912213775
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.7391691912213775
timing__hold__ws__corner:max_ss_125C_4v50,1.389214560486562
timing__setup__ws__corner:max_ss_125C_4v50,47.303033939851886
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.389215
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,47.303036
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,483
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,0
design__max_cap_violation__count__corner:max_ff_n40C_5v50,0
clock__skew__worst_hold__corner:max_ff_n40C_5v50,0.2759315076751385
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.2759315076751385
timing__hold__ws__corner:max_ff_n40C_5v50,0.4688074505737022
timing__setup__ws__corner:max_ff_n40C_5v50,82.49614558310525
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.468807
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,82.496147
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,483
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,483
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.86545
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.86748
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.134545
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.16465
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.162359
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.16465
design_powergrid__voltage__worst,0.16465
design_powergrid__voltage__worst__net:VDD,4.86545
design_powergrid__drop__worst,0.16465
design_powergrid__drop__worst__net:VDD,0.134545
design_powergrid__voltage__worst__net:VSS,0.16465
design_powergrid__drop__worst__net:VSS,0.16465
ir__voltage__worst,4.87000000000000010658141036401502788066864013671875
ir__drop__avg,0.13300000000000000710542735760100185871124267578125
ir__drop__worst,0.1350000000000000088817841970012523233890533447265625
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
